average_flavor_rating,brand_name,link,number_of_flavors,number_of_reviews,overall_rating,price,price_per_serving,product_category,product_description,product_name,top_flavor_rated,verified_buyer_number,verified_buyer_rating
,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/men.html?skuId=OPT2380278,,1644.0,9.2,14.6,0.49,Men's Health Products,Active Ingredients and Essential Daily Nutrients in One Convenient Tablet*,Opti-Men,Unknown,Unknown,
8.6,GAT,https://sa.bodybuilding.com/store/gat/nitraflex.html?skuId=GAT3660245,10.0,549.0,9.1,29.99,1.0,Improve Workout Products,"Pre-Training Formula for Bigger, Better Workouts*",NITRAFLEX,Pina Colada,297,9.0
,Animal,https://sa.bodybuilding.com/store/univ/animalpak.html?skuId=UNIV020,,1765.0,9.3,28.95,1.32,Health & Wellness Products,Supports Rigorous Training for All Competitive Strength and Power Athletes*,Animal Pak,Unknown,Unknown,
8.5,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/evltest.html?skuId=EVL2760018,1.0,1370.0,9.0,34.99,1.17,D-Aspartic Acid,Science Based Natural Testosterone Support Complex*!,EVL TEST,Blue Raz,724,8.0
9.2,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/bcaa-lean-energy.html?skuId=EVL4620067,6.0,484.0,9.6,24.99,0.83,BCAAs,BCAAs + Energy + Weight Management*,BCAA Lean Energy,Cherry Limeade,244,9.0
,JYM Supplement Science,https://sa.bodybuilding.com/store/jym/vita-jym.html?skuId=JYM5000189,,460.0,9.5,26.0,0.87,Multivitamins,Science Based Formula Provides Micronutrients Athletes Need to Support Growth and Overall Well-Being*,Vita JYM,Unknown,427,9.0
8.7,JYM Supplement Science,https://sa.bodybuilding.com/store/jym/pro-jym.html?skuId=JYM5100050,14.0,2506.0,9.2,34.99,1.35,Whey Protein Isolate,"24g of Pure, Quality Protein in Every Scoop with No Added Amino Acids or Filler Nutrients",Pro JYM,S'mores,2275,9.0
,Scivation,https://sa.bodybuilding.com/store/sv/xtend.html?skuId=SV2441532,,2800.0,9.2,64.99,0.72,Amino Acids,"Intra-Workout Powder with 7g of BCAAs to Build Muscle, Burn Fat, and Aid Recovery During Workouts*",Xtend,Unknown,Unknown,
,BSN,https://sa.bodybuilding.com/store/bsn/synth.html?skuId=BSN068,,3920.0,9.2,29.58,1.06,Whey Protein,"22g of an Ultra-Premium Blended Protein Formula for Use Anytime, Day or Night",Syntha-6,Unknown,Unknown,
,BSN,https://sa.bodybuilding.com/store/bsn/synth.html?skuId=BSN5430003,,3920.0,9.2,29.58,1.06,Whey Protein,"22g of an Ultra-Premium Blended Protein Formula for Use Anytime, Day or Night",Syntha-6,Unknown,Unknown,
8.4,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/whey.html?skuId=OPT2780023,43.0,9926.0,9.3,47.99,0.96,Build Muscle Products,24g of Whey Protein with Amino Acids for Muscle Recovery and Growth*,Gold Standard 100% Whey,Unflavored,3932,9.0
8.4,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/whey.html?skuId=OPT3470086,43.0,9926.0,9.3,111.99,0.77,Build Muscle Products,24g of Whey Protein with Amino Acids for Muscle Recovery and Growth*,Gold Standard 100% Whey,Unflavored,3932,9.0
,Bodybuilding.com Signature,https://sa.bodybuilding.com/store/bodybuilding-com/signature-multivitamin.html?skuId=BBCOM5100070,,35.0,9.4,14.99,0.17,Multivitamins,Formulated for the Needs of Athletes*,Signature Multivitamin,Unknown,Unknown,
,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/essential-amino-energy.html?skuId=OPT4380078,,2466.0,9.1,30.39,0.47,Amino Acids,Amino Acid Powder with Caffeine from Natural Sources!,Essential AmiN.O. Energy,Unknown,Unknown,
,JYM Supplement Science,https://sa.bodybuilding.com/store/jym/shred-jym.html?skuId=JYM5000186,,683.0,8.6,25.99,0.65,Acetyl L-Carnitine,Three Stage Fat-Loss Support Capsule*,Shred JYM,Unknown,610,8.0
,MuscleTech,https://sa.bodybuilding.com/store/muscletech/muscletech-performance-series-nitro-tech-100percent-whey-gold.html?skuId=MT4450104,,1882.0,9.0,56.99,0.74,Whey Protein,Each Scoop Serves Up 24G Of Ultra-Premium Micro-Filtered Protein,NITRO-TECH 100% Whey Gold,Unknown,Unknown,
8.3,JYM Supplement Science,https://sa.bodybuilding.com/store/jym/pre-jym.html?skuId=JYM5440012,9.0,3947.0,9.1,37.99,1.9,Improve Workout Products,Pre-Workout Powder Powerhouse Packed with 13-Hand Picked Ingredients to Support Improved Workouts*,Pre JYM,Raspberry Lemonade,3471,9.0
8.5,Bodybuilding.com Signature,https://sa.bodybuilding.com/store/bodybuilding-com/signature-bcaa.html?skuId=BBCOM5370005,6.0,129.0,8.7,17.99,0.6,Build Muscle Products,Fuel and Recovery Powerhouse*,Signature BCAA,Tropical Pineapple,94,8.0
9.8,RSP Nutrition,https://sa.bodybuilding.com/store/rsp-nutrition/creatine-monohydrate.html?skuId=RSP2400036,1.0,809.0,9.7,14.97,0.15,Creatine Monohydrate,5G Of Pharmaceutical Grade Micronized Creatine To Support Growth*,Creatine Monohydrate,Unflavored,537,9.0
,Dymatize,https://sa.bodybuilding.com/store/dymatize/iso-100.html?skuId=DYM1930102,,2332.0,9.4,49.99,1.11,Build Muscle Products,Hydrolyzed 100% Whey Protein Isolate,ISO100,Unknown,Unknown,
,JYM Supplement Science,https://sa.bodybuilding.com/store/jym/alpha-jym.html?skuId=JYM5000190,,352.0,8.4,34.87,0.58,Fenugreek,Helps Support a Healthy Testosterone and Estrogen Balance*,Alpha JYM,Unknown,308,8.0
,JYM Supplement Science,https://sa.bodybuilding.com/store/jym/zma-jym.html?skuId=JYM5000187,,317.0,9.1,18.38,0.61,Build Muscle Products,Zinc And Magnesium Capsule To Help Maintain Optimal Hormone Levels*,ZMA JYM,Unknown,284,9.0
